date,zone_id,VV_mean,VH_mean
2026-05-01,zone_04,-9.2883,-15.5378
2026-05-01,zone_05,-12.6375,-21.4847
2026-05-01,zone_06,-11.158,-19.5712
2026-05-01,zone_07,-13.3359,-22.6268
2026-05-01,zone_08,-9.9662,-17.1334
2026-05-01,zone_09,-11.9153,-20.7895
2026-05-01,zone_10,-11.4965,-19.8222
2026-05-01,zone_11,-12.6684,-21.2309
2026-05-01,zone_12,-12.0081,-21.6099
2026-05-01,zone_13,-11.5119,-20.8741
2026-05-01,zone_14,-11.6931,-20.8302
2026-05-01,zone_15,-13.1768,-22.1548
2026-05-01,zone_16,-14.3508,-22.5944
2026-05-13,zone_01,-9.3027,-17.8029
2026-05-13,zone_02,-10.0577,-18.4743
2026-05-13,zone_03,-9.904,-18.501
2026-05-13,zone_04,-9.1632,-15.3418
2026-05-13,zone_05,-12.882,-22.5737
2026-05-13,zone_06,-11.4466,-20.0465
2026-05-13,zone_07,-13.5435,-23.3472
2026-05-13,zone_08,-9.387,-16.7728
2026-05-13,zone_09,-12.0844,-21.5558
2026-05-13,zone_10,-11.7283,-20.2406
2026-05-13,zone_11,-12.7376,-21.6427
2026-05-13,zone_12,-12.0027,-22.2143
2026-05-13,zone_13,-11.8417,-21.2417
2026-05-13,zone_14,-12.3839,-21.7098
2026-05-13,zone_15,-13.3184,-22.876
2026-05-13,zone_16,-14.6023,-22.7354
2026-06-06,zone_01,-9.0366,-17.7727
2026-06-06,zone_02,-9.679,-18.3805
2026-06-06,zone_03,-10.1908,-19.054
2026-06-06,zone_04,-9.0266,-15.537
2026-06-06,zone_05,-12.6716,-22.68
2026-06-06,zone_06,-11.4466,-20.2516
2026-06-06,zone_07,-13.1286,-22.8558
2026-06-06,zone_08,-9.3951,-17.2171
2026-06-06,zone_09,-12.1115,-21.8143
2026-06-06,zone_10,-11.6968,-20.2313
2026-06-06,zone_11,-12.8379,-22.1986
2026-06-06,zone_12,-11.8053,-21.9555
2026-06-06,zone_13,-11.5628,-21.3306
2026-06-06,zone_14,-11.8021,-21.4164
2026-06-06,zone_15,-13.2732,-22.5173
2026-06-06,zone_16,-14.3333,-23.1178
2026-06-18,zone_01,-9.2613,-17.8031
2026-06-18,zone_02,-10.1181,-18.6579
2026-06-18,zone_03,-9.8357,-18.888
2026-06-18,zone_04,-9.14,-15.567
2026-06-18,zone_05,-12.632,-22.2735
2026-06-18,zone_06,-11.3398,-19.9536
2026-06-18,zone_07,-13.2043,-22.9273
2026-06-18,zone_08,-9.3996,-17.3364
2026-06-18,zone_09,-12.1823,-21.6442
2026-06-18,zone_10,-11.568,-20.0057
2026-06-18,zone_11,-12.7516,-21.9549
2026-06-18,zone_12,-11.7229,-21.9238
2026-06-18,zone_13,-11.6544,-21.1262
2026-06-18,zone_14,-11.7943,-21.0344
2026-06-18,zone_15,-13.5491,-22.594
2026-06-18,zone_16,-14.3567,-22.7493
2026-06-25,zone_01,-9.1763,-17.8464
2026-06-25,zone_02,-9.9803,-18.6883
2026-06-25,zone_03,-9.7523,-19.1388
2026-06-25,zone_04,-9.6471,-15.7952
2026-06-25,zone_05,-12.7463,-22.5522
2026-06-25,zone_06,-11.4792,-20.509
2026-06-25,zone_07,-13.476,-23.2891
2026-06-25,zone_08,-10.0249,-17.5751
2026-06-25,zone_09,-12.2194,-21.6745
2026-06-25,zone_10,-12.0047,-20.3843
2026-06-25,zone_11,-13.1589,-22.4394
2026-06-25,zone_12,-12.507,-22.6191
2026-06-25,zone_13,-11.6837,-21.1348
2026-06-25,zone_14,-11.7302,-21.1033
2026-06-25,zone_15,-13.5501,-22.7991
2026-06-25,zone_16,-14.8154,-23.2481
2026-07-07,zone_01,-6.8689,-15.1717
2026-07-07,zone_02,-7.7444,-16.1313
2026-07-07,zone_03,-8.089,-16.2592
2026-07-07,zone_04,-7.4778,-13.2614
2026-07-07,zone_05,-9.0167,-17.644
2026-07-07,zone_06,-8.5286,-16.5936
2026-07-07,zone_07,-10.2952,-18.8812
2026-07-07,zone_08,-7.5671,-14.7394
2026-07-07,zone_09,-9.6336,-17.9496
